\ Stellar Population Table
\ 
\ Parameters:
\ 
\type="phoenix"
\id=0
\n_stars=2192
\age_l=1e+09
\age_h=1e+09
\met_l=0.000000
\met_h=0.000000
\imf="salpeter"
\alpha=2.350000
\distribution="invpow"
\clustered="False"
\radius=10.000000
\radius_units="pc"
\dist_l=20000
\dist_h=20000
\offset_ra=0.000000
\offset_dec=0.000000
\ 
|  ID|               RA|               DEC|     Distance|         Age|Metallicity|          Mass|Binary|Dataset|     Absolute|     Apparent|
|long|           double|            double|       double|      double|     double|        double|double| double|       double|       double|
|    |          degrees|           degrees|           pc|       years|           |  solar masses|      |       |    johnson,u|    johnson,u|
|null|             null|              null|         null|        null|       null|          null|  null|   null|         null|         null|
    1  0.00338843073085  0.000376628753222 19996.6029164 1000000000.0         0.0 0.116399413585    0.0     0.0  16.713080404 33.2178615173 
    2  0.00498211689322   0.00370752690197 20003.3948362 1000000000.0         0.0 0.201520766178    0.0     0.0 14.2895534912 30.7950720279 
    3     359.996407468  -0.00478149215063  20005.924862 1000000000.0         0.0 0.151477416986    0.0     0.0 15.3699449037 31.8757380705 
    4 9.47455914588e-05 -0.000157384371143 19999.6895664 1000000000.0         0.0 0.300260141166    0.0     0.0 13.0521397803 29.5572560534 
    5     359.999658046   0.00534849361458 20000.1048425 1000000000.0         0.0 0.295135330555    0.0     0.0 13.1053516243 29.6105129857 
    6    0.007018680452   0.00338267969185 20000.2981761 1000000000.0         0.0 0.125696712125    0.0     0.0 16.2428282271 32.7480105793 
    7  0.00365266468953   0.00328064167221  20003.023857 1000000000.0         0.0 0.126184939448    0.0     0.0 16.2237873615 32.7292656261 
    8      359.99807857   -0.0055044728323 20000.8624926 1000000000.0         0.0 0.317383165615    0.0     0.0 12.8853599723 29.3906035926 
    9 0.000216413792417  -0.00119519309234 19999.0945502 1000000000.0         0.0 0.850462274711    0.0     0.0 7.68881396158 24.1938656297 
   10  0.00437988784662   -0.0143878874368 20002.7436073 1000000000.0         0.0 0.436023716516    0.0     0.0 11.9627039907  28.468151832 
   11 0.000272495214566  0.000234516052472 20000.2164535 1000000000.0         0.0 0.137591070241    0.0     0.0 15.7789482606 32.2841217399 
   12     359.998714925 -0.000460640481425 19998.1719258 1000000000.0         0.0  0.16509743315    0.0     0.0 15.0309928771 31.5359443657 
   13     359.999989522  1.24776765627e-05 20000.0280782 1000000000.0         0.0 0.228587222182    0.0     0.0 13.8900526006 30.3952056275 
   14     359.998832022   0.00484815092955 19999.6956698 1000000000.0         0.0 0.244805732825    0.0     0.0 13.6506673835 30.1557843193 
   15     359.999461661   0.00399218996089 19999.9305602 1000000000.0         0.0 0.139554141204    0.0     0.0  15.702388493  32.207530932 
   16     359.999818419  0.000599979832773 20000.9321482 1000000000.0         0.0 0.181081000662    0.0     0.0 14.7017313864  31.206982569 
   17  0.00141978052943   0.00575264185684 20002.2582989 1000000000.0         0.0 0.165596736281    0.0     0.0 15.0207072326 31.5261023888 
   18  0.00690068689408   0.00122867925899 19992.2283797 1000000000.0         0.0 0.100699252916    0.0     0.0 17.7948214741 34.2991274955 
   19     359.999935821 -8.27759338813e-05 19999.6761036 1000000000.0         0.0 0.288637143988    0.0     0.0 13.1728234815  29.677938293 
   20     359.999952191 -0.000281614390406 20003.5784844 1000000000.0         0.0 0.452376066194    0.0     0.0 11.8404666094  28.346005082 
   21  0.00487873476742    0.0081475937526 19999.1452466 1000000000.0         0.0 0.138699222709    0.0     0.0 15.7357303144  32.240787487 
   22     359.997063933 -0.000756202600377 19995.8502653 1000000000.0         0.0 0.199003147909    0.0     0.0 14.3325351531 30.8372345329 
   23  0.00640048431493   -0.0028256368047 19997.0048274 1000000000.0         0.0 0.105553555612    0.0     0.0 17.4603600184 33.9651847756 
   24     359.998856419   0.00163959073314 20000.5469188 1000000000.0         0.0 0.139325200782    0.0     0.0 15.7113171695  32.216526528 
   25      359.99262315   0.00169927122047 19996.9753565 1000000000.0         0.0 0.111693053479    1.0     0.0 17.0373486153 33.5421701723 
   26      359.99262315   0.00169927122047 19996.9753565 1000000000.0         0.0 0.647392905304    0.0     0.0 10.1636737261 26.6684952831 
   27     359.999440477   0.00170967503747 19999.6170334 1000000000.0         0.0 0.213438517037    0.0     0.0 14.1136474885 30.6187558864 
   28 2.84980284555e-05  -0.00459697927211 19998.5346216 1000000000.0         0.0 0.144044031946    0.0     0.0 15.5739913231 32.0789821941 
   29  0.00513431383617    0.0281513159748 19999.5260295 1000000000.0         0.0 0.303578747407    0.0     0.0 13.0176820859 29.5227806029 
   30 0.000265694212441 -7.09903783935e-05 20000.0748164 1000000000.0         0.0 0.131555720398    0.0     0.0 16.0143269045 32.5194850058 
   31  0.00319141408476   -0.0137427100486 19995.7290541 1000000000.0         0.0 0.183152371836    0.0     0.0 14.6590611402 31.1637473569 
   32  0.00921282400006  -0.00351760756696 20000.9509961 1000000000.0         0.0 0.104878852873    1.0     0.0 17.5068470371  34.012100266 
   33  0.00921282400006  -0.00351760756696 20000.9509961 1000000000.0         0.0  0.42078649023    0.0     0.0  12.075764255  28.581017484 
   34  0.00235738379295   0.00188092757384 19996.5952586 1000000000.0         0.0 0.151175389734    0.0     0.0 15.3782355518 31.8830158335 
   35 0.000585154058644 -0.000460261420823 19995.6124073 1000000000.0         0.0 0.317687812255    0.0     0.0 12.8829375065 29.3876110557 
   36     359.999998675 -0.000620894133753 19999.7115634 1000000000.0         0.0 0.523289043932    1.0     0.0 11.2868797129 27.7919983744 
   37     359.999998675 -0.000620894133753 19999.7115634 1000000000.0         0.0 0.111635276816    0.0     0.0 17.0413294274 33.5464480888 
   38     359.998274575  -0.00367038068805 20001.0868868 1000000000.0         0.0 0.239850114484    0.0     0.0 13.7238123102 30.2290802926 
   39     359.992391536   0.00354393378365 20001.9150188 1000000000.0         0.0 0.240034327144    0.0     0.0 13.7210933314 30.2264512202 
